Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
102122	2.8467e-002	2.9737e-002	4.9536e-002	8.05e-008
102124	2.8736e-002	2.9369e-002	4.959e-002	4.9361e-008
102128	2.8927e-002	2.9577e-002	4.9537e-002	9.257e-008
102133	2.8676e-002	2.9528e-002	4.9562e-002	6.6993e-008
102134	2.8619e-002	2.9681e-002	4.9536e-002	8.5726e-008
102135	2.878e-002	2.9628e-002	4.9536e-002	9.0007e-008
102137	3.6027e-002	3.265e-002	4.9591e-002	-1.7087e-009
102144	3.5711e-002	3.2581e-002	4.9536e-002	2.2043e-008
102153	3.5954e-002	3.2491e-002	4.9591e-002	-5.1891e-009
102154	3.6116e-002	3.2533e-002	4.9619e-002	-1.5229e-008
102156	3.579e-002	3.245e-002	4.9563e-002	6.6993e-009
102157	3.5961e-002	3.2219e-002	4.9619e-002	-2.0744e-008
102158	3.5877e-002	3.2334e-002	4.9591e-002	-7.6891e-009
102163	3.6335e-002	3.2702e-002	4.9649e-002	-2.0638e-008
102165	3.663e-002	3.2705e-002	4.9712e-002	-3.7377e-008
102170	3.627e-002	3.2571e-002	4.9647e-002	-2.3538e-008
102171	3.6418e-002	3.258e-002	4.9677e-002	-3.2157e-008
102173	3.6497e-002	3.2438e-002	4.9707e-002	-4.3865e-008
102174	3.6435e-002	3.2335e-002	4.9704e-002	-4.5122e-008
102176	3.6561e-002	3.2569e-002	4.9709e-002	-4.0655e-008
102179	3.6197e-002	3.2412e-002	4.9647e-002	-2.7343e-008
102180	3.6154e-002	3.226e-002	4.9653e-002	-3.2197e-008
102181	3.631e-002	3.2297e-002	4.9681e-002	-4.0063e-008
102184	3.5951e-002	3.3569e-002	4.951e-002	6.294e-008
102189	3.5853e-002	3.3269e-002	4.951e-002	5.166e-008
102198	3.5842e-002	3.3674e-002	4.9484e-002	8.0994e-008
102199	3.5795e-002	3.3521e-002	4.9483e-002	7.4858e-008
102201	3.5498e-002	3.3423e-002	4.9435e-002	1.0178e-007
102202	3.5646e-002	3.3475e-002	4.9458e-002	8.771e-008
102203	3.5538e-002	3.3574e-002	4.9433e-002	1.0754e-007
102207	3.5754e-002	3.3369e-002	4.9485e-002	6.8518e-008
102208	3.5705e-002	3.3223e-002	4.9485e-002	6.3934e-008
102214	3.5221e-002	3.2896e-002	4.9423e-002	1.009e-007
102216	3.5195e-002	3.3034e-002	4.9408e-002	1.1486e-007
102217	3.5118e-002	3.2944e-002	4.9402e-002	1.2002e-007
102219	3.5045e-002	3.2685e-002	4.9412e-002	1.1132e-007
102220	3.5006e-002	3.2846e-002	4.9392e-002	1.2996e-007
102224	3.498e-002	3.2983e-002	4.9377e-002	1.4494e-007
102226	3.495e-002	3.3154e-002	4.936e-002	1.6314e-007
102228	3.5482e-002	3.2673e-002	4.9487e-002	5.2242e-008
102229	3.5332e-002	3.2666e-002	4.9461e-002	6.9801e-008
102231	3.5199e-002	3.2673e-002	4.9438e-002	8.8321e-008
102233	3.5277e-002	3.2799e-002	4.944e-002	8.6196e-008
102234	3.5354e-002	3.2889e-002	4.9446e-002	8.2691e-008
102237	3.5748e-002	3.2978e-002	4.951e-002	4.3155e-008
102239	3.5623e-002	3.2694e-002	4.951e-002	3.777e-008
102244	3.566e-002	3.3079e-002	4.9486e-002	5.9281e-008
102245	3.5604e-002	3.2935e-002	4.9487e-002	5.5554e-008
102247	3.555e-002	3.2813e-002	4.9487e-002	5.3351e-008
102249	3.5463e-002	3.2915e-002	4.9463e-002	7.0693e-008
102251	3.5407e-002	3.3011e-002	4.9446e-002	8.4319e-008
102253	3.5561e-002	3.318e-002	4.9461e-002	7.7165e-008
102255	3.5362e-002	3.3371e-002	4.9414e-002	1.1543e-007
102256	3.547e-002	3.3272e-002	4.9439e-002	9.4286e-008
102259	3.5425e-002	3.3128e-002	4.9441e-002	9.0027e-008
102260	3.5316e-002	3.3103e-002	4.9424e-002	1.0266e-007
102269	3.5247e-002	3.3449e-002	4.939e-002	1.3741e-007
102272	3.4956e-002	3.3301e-002	4.9351e-002	1.7362e-007
102282	3.5218e-002	3.3298e-002	4.9394e-002	1.3073e-007
102283	3.5213e-002	3.3151e-002	4.9403e-002	1.2051e-007
102284	3.5098e-002	3.3229e-002	4.9379e-002	1.4397e-007
102291	3.6315e-002	3.345e-002	4.959e-002	2.4782e-008
102294	3.6103e-002	3.3635e-002	4.9537e-002	5.398e-008
102299	3.6435e-002	3.3954e-002	4.959e-002	5.0589e-008
102300	3.64e-002	3.3783e-002	4.959e-002	4.1032e-008
102302	3.6246e-002	3.3711e-002	4.9562e-002	4.7451e-008
102303	3.6142e-002	3.3798e-002	4.9537e-002	6.2105e-008
102305	3.636e-002	3.3619e-002	4.959e-002	3.2846e-008
102308	3.6468e-002	3.4114e-002	4.9591e-002	6.006e-008
102312	3.6235e-002	3.4273e-002	4.9537e-002	9.0118e-008
102316	3.6319e-002	3.4034e-002	4.9563e-002	6.5063e-008
102317	3.6088e-002	3.4205e-002	4.951e-002	9.7391e-008
102318	3.6205e-002	3.4125e-002	4.9536e-002	8.1112e-008
102320	3.6172e-002	3.3965e-002	4.9535e-002	7.1861e-008
102321	3.6028e-002	3.3889e-002	4.951e-002	7.8747e-008
102325	3.5943e-002	3.4156e-002	4.9483e-002	1.0716e-007
102326	3.5795e-002	3.4099e-002	4.9457e-002	1.1766e-007
102327	3.591e-002	3.4e-002	4.9482e-002	9.8257e-008
102331	3.7319e-002	3.3697e-002	4.9804e-002	-1.3218e-008
102337	3.7131e-002	3.343e-002	4.9774e-002	-2.1249e-008
102343	3.6793e-002	3.3982e-002	4.9668e-002	2.9656e-008
102345	3.6927e-002	3.3785e-002	4.9707e-002	9.3898e-009
102347	3.7035e-002	3.3606e-002	4.9741e-002	-6.8107e-009
102349	3.711e-002	3.375e-002	4.9751e-002	-1.5945e-009
102350	3.7211e-002	3.3876e-002	4.977e-002	2.0884e-009
102352	3.6652e-002	3.4556e-002	4.9619e-002	8.1244e-008
102356	3.6611e-002	3.4208e-002	4.9619e-002	5.7013e-008
102361	3.6769e-002	3.4477e-002	4.9647e-002	6.7377e-008
102362	3.7038e-002	3.433e-002	4.9712e-002	4.0828e-008
102364	3.6915e-002	3.4407e-002	4.9682e-002	5.3139e-008
102366	3.678e-002	3.4312e-002	4.9653e-002	5.4126e-008
102368	3.6755e-002	3.4138e-002	4.9653e-002	4.2932e-008
102371	3.7215e-002	3.4269e-002	4.9756e-002	2.7546e-008
102378	3.7351e-002	3.3971e-002	4.98e-002	2.1206e-009
102387	3.6964e-002	3.4086e-002	4.9703e-002	2.7415e-008
102388	3.7104e-002	3.4181e-002	4.9732e-002	2.6835e-008
102389	3.7142e-002	3.4024e-002	4.9747e-002	1.456e-008
102393	3.7483e-002	3.5053e-002	4.981e-002	7.1302e-008
102397	3.7869e-002	3.5086e-002	4.991e-002	5.5515e-008
102399	3.7384e-002	3.4903e-002	4.9786e-002	6.5033e-008
102400	3.7579e-002	3.49e-002	4.9835e-002	5.5283e-008
102402	3.7651e-002	3.4639e-002	4.9857e-002	3.3793e-008
102403	3.7282e-002	3.4424e-002	4.9768e-002	3.5142e-008
102406	3.7619e-002	3.4478e-002	4.9851e-002	2.4338e-008
102407	3.7339e-002	3.4718e-002	4.9777e-002	5.3625e-008
102408	3.7306e-002	3.4557e-002	4.9771e-002	4.3475e-008
102409	3.7448e-002	3.4589e-002	4.9806e-002	3.9175e-008
102413	3.7298e-002	3.339e-002	4.9816e-002	-2.9628e-008
102415	3.721e-002	3.325e-002	4.9804e-002	-3.4018e-008
102416	3.7407e-002	3.3547e-002	4.9834e-002	-2.4796e-008
102417	3.7486e-002	3.3367e-002	4.9865e-002	-3.688e-008
102418	3.7573e-002	3.3217e-002	4.9897e-002	-4.6668e-008
102419	3.7269e-002	3.3095e-002	4.9829e-002	-4.3994e-008
102422	3.2596e-002	3.1802e-002	4.9215e-002	6.2062e-007
102431	3.2758e-002	3.2087e-002	4.9196e-002	6.5742e-007
102451	3.2689e-002	3.1664e-002	4.9239e-002	5.4427e-007
102456	3.3036e-002	3.1693e-002	4.9264e-002	4.4982e-007
102467	3.2773e-002	3.1812e-002	4.9228e-002	5.6543e-007
102468	3.3114e-002	3.1835e-002	4.9254e-002	4.6207e-007
102469	3.2943e-002	3.1815e-002	4.9241e-002	5.0993e-007
102471	3.2851e-002	3.1953e-002	4.9218e-002	5.8053e-007
102472	3.2928e-002	3.209e-002	4.9209e-002	5.9314e-007
102485	3.3784e-002	3.201e-002	4.9303e-002	3.0366e-007
102486	3.3611e-002	3.1963e-002	4.9289e-002	3.4154e-007
102487	3.3724e-002	3.1846e-002	4.9315e-002	2.9261e-007
102490	3.3365e-002	3.215e-002	4.9243e-002	4.5263e-007
102491	3.3491e-002	3.2066e-002	4.9265e-002	3.9565e-007
102492	3.3544e-002	3.2212e-002	4.9255e-002	4.0701e-007
102495	3.3379e-002	3.1755e-002	4.9289e-002	3.6674e-007
102496	3.3432e-002	3.1901e-002	4.9277e-002	3.8126e-007
102497	3.326e-002	3.1859e-002	4.9265e-002	4.2179e-007
102506	3.2981e-002	3.2236e-002	4.9199e-002	6.1314e-007
102510	3.3272e-002	3.2273e-002	4.9222e-002	5.1141e-007
102519	3.3074e-002	3.2103e-002	4.9221e-002	5.4346e-007
102520	3.3167e-002	3.1981e-002	4.9242e-002	4.8025e-007
102521	3.3219e-002	3.2127e-002	4.9232e-002	4.9688e-007
102536	3.2334e-002	3.1653e-002	4.9215e-002	6.5084e-007
102542	3.1972e-002	3.1671e-002	4.9192e-002	7.6797e-007
102549	3.2423e-002	3.1804e-002	4.9203e-002	6.7884e-007
102550	3.2244e-002	3.1804e-002	4.9192e-002	7.4084e-007
102552	3.2159e-002	3.1966e-002	4.9168e-002	8.451e-007
102553	3.2255e-002	3.2111e-002	4.9158e-002	8.723e-007
102555	3.207e-002	3.1815e-002	4.918e-002	8.0396e-007
102559	3.2347e-002	3.2253e-002	4.9149e-002	8.9746e-007
102562	3.2675e-002	3.2231e-002	4.9174e-002	7.3947e-007
102567	3.2507e-002	3.1952e-002	4.9192e-002	7.068e-007
102568	3.2598e-002	3.2094e-002	4.9183e-002	7.2288e-007
102569	3.2424e-002	3.2097e-002	4.917e-002	7.9666e-007
102574	3.3572e-002	3.1352e-002	4.936e-002	2.4268e-007
102575	3.3371e-002	3.1331e-002	4.9342e-002	2.8289e-007
102576	3.3506e-002	3.12e-002	4.9373e-002	2.3031e-007
102580	3.3139e-002	3.1563e-002	4.9289e-002	3.8787e-007
102581	3.3255e-002	3.1449e-002	4.9315e-002	3.3386e-007
102582	3.3322e-002	3.1598e-002	4.9302e-002	3.4864e-007
102584	3.3121e-002	3.1147e-002	4.9343e-002	2.9822e-007
102585	3.3188e-002	3.1296e-002	4.9329e-002	3.1587e-007
102586	3.3005e-002	3.1264e-002	4.9316e-002	3.5056e-007
102596	3.2825e-002	3.1243e-002	4.9304e-002	3.8681e-007
102598	3.2892e-002	3.1393e-002	4.9289e-002	4.0915e-007
102600	3.2969e-002	3.1544e-002	4.9276e-002	4.3027e-007
102602	3.2789e-002	3.1523e-002	4.9264e-002	4.7318e-007
102603	3.2612e-002	3.1513e-002	4.9252e-002	5.1939e-007
102615	3.471e-002	3.3883e-002	4.9283e-002	2.64e-007
102619	3.435e-002	3.3733e-002	4.9238e-002	3.3696e-007
102628	3.4576e-002	3.4006e-002	4.9258e-002	3.0165e-007
102629	3.4224e-002	3.3874e-002	4.9215e-002	3.8123e-007
102631	3.4405e-002	3.3949e-002	4.9236e-002	3.3828e-007
102633	3.445e-002	3.4146e-002	4.9235e-002	3.4087e-007
102635	3.4315e-002	3.4274e-002	4.9213e-002	3.83e-007
102637	3.4194e-002	3.4412e-002	4.9193e-002	4.2454e-007
102638	3.4158e-002	3.4228e-002	4.9194e-002	4.232e-007
102640	3.4117e-002	3.406e-002	4.9194e-002	4.2522e-007
102642	3.3995e-002	3.4199e-002	4.9174e-002	4.7087e-007
102644	3.3924e-002	3.4332e-002	4.9162e-002	5.0143e-007
102653	3.2982e-002	3.3734e-002	4.9087e-002	9.3925e-007
102654	3.3034e-002	3.3569e-002	4.91e-002	8.8424e-007
102655	3.314e-002	3.3701e-002	4.9103e-002	8.3235e-007
102657	3.4017e-002	3.3513e-002	4.9207e-002	4.1831e-007
102662	3.3716e-002	3.3229e-002	4.9189e-002	4.9872e-007
102671	3.4213e-002	3.2954e-002	4.9269e-002	3.0797e-007
102672	3.4032e-002	3.3055e-002	4.9238e-002	3.7067e-007
102673	3.4053e-002	3.2826e-002	4.9258e-002	3.3956e-007
102676	3.4028e-002	3.3275e-002	4.9222e-002	3.938e-007
102677	3.4181e-002	3.342e-002	4.9233e-002	3.5993e-007
102679	3.3721e-002	3.3009e-002	4.9205e-002	4.7047e-007
102680	3.3868e-002	3.3148e-002	4.9212e-002	4.3366e-007
102692	3.4659e-002	3.3316e-002	4.9305e-002	2.3191e-007
102693	3.4515e-002	3.3191e-002	4.9293e-002	2.5357e-007
102695	3.4351e-002	3.3294e-002	4.9263e-002	3.024e-007
102696	3.4339e-002	3.3532e-002	4.9247e-002	3.2487e-007
102698	3.4357e-002	3.3079e-002	4.9279e-002	2.826e-007
102702	3.486e-002	3.3772e-002	4.931e-002	2.2594e-007
102705	3.4821e-002	3.3406e-002	4.9324e-002	2.0605e-007
102710	3.4682e-002	3.3697e-002	4.9287e-002	2.5621e-007
102711	3.4521e-002	3.3607e-002	4.9268e-002	2.852e-007
102712	3.4671e-002	3.3496e-002	4.9296e-002	2.4334e-007
102715	3.4138e-002	3.2495e-002	4.9298e-002	2.7766e-007
102718	3.397e-002	3.2079e-002	4.9318e-002	2.6645e-007
102724	3.4016e-002	3.2615e-002	4.9271e-002	3.2523e-007
102725	3.392e-002	3.2385e-002	4.9281e-002	3.2204e-007
102727	3.3608e-002	3.2401e-002	4.9244e-002	4.1954e-007
102729	3.3734e-002	3.2317e-002	4.9266e-002	3.6576e-007
102730	3.3856e-002	3.2196e-002	4.9292e-002	3.1265e-007
102732	3.3835e-002	3.2717e-002	4.9241e-002	3.9244e-007
102734	3.3559e-002	3.2894e-002	4.9196e-002	5.1689e-007
102735	3.3711e-002	3.2813e-002	4.9219e-002	4.479e-007
102738	3.3674e-002	3.2602e-002	4.9232e-002	4.3037e-007
102739	3.3484e-002	3.2497e-002	4.9221e-002	4.7931e-007
102741	3.3174e-002	3.2638e-002	4.9178e-002	6.3277e-007
102744	3.3335e-002	3.2424e-002	4.9213e-002	5.2075e-007
102749	3.3275e-002	3.2713e-002	4.9181e-002	6.0357e-007
102750	3.3424e-002	3.2786e-002	4.919e-002	5.5444e-007
102751	3.34e-002	3.2625e-002	4.9201e-002	5.3455e-007
102753	3.0758e-002	3.2921e-002	4.9033e-002	2.2471e-006
102756	3.0825e-002	3.2635e-002	4.9057e-002	1.8588e-006
102762	3.1149e-002	3.302e-002	4.9032e-002	2.2282e-006
102763	3.1038e-002	3.2887e-002	4.9039e-002	2.1149e-006
102765	3.0857e-002	3.3051e-002	4.9025e-002	2.4117e-006
102767	3.0888e-002	3.2908e-002	4.9036e-002	2.1914e-006
102768	3.0939e-002	3.2758e-002	4.9048e-002	1.9775e-006
102770	3.0771e-002	3.3465e-002	4.8997e-002	3.2228e-006
102771	3.0934e-002	3.3467e-002	4.8999e-002	3.1196e-006
102773	3.0617e-002	3.343e-002	4.8998e-002	3.1796e-006
102774	3.079e-002	3.3202e-002	4.9014e-002	2.6924e-006
102775	3.07e-002	3.3305e-002	4.9006e-002	2.8988e-006
102780	3.1082e-002	3.345e-002	4.9002e-002	2.9773e-006
102783	3.1231e-002	3.3154e-002	4.9024e-002	2.3642e-006
102787	3.1002e-002	3.3323e-002	4.9008e-002	2.7971e-006
102788	3.092e-002	3.3189e-002	4.9016e-002	2.6192e-006
102789	3.1068e-002	3.3172e-002	4.9019e-002	2.4953e-006
102791	3.2213e-002	3.3289e-002	4.9056e-002	1.4909e-006
102795	3.2006e-002	3.3037e-002	4.9062e-002	1.5404e-006
102800	3.2274e-002	3.3134e-002	4.907e-002	1.363e-006
102801	3.2378e-002	3.326e-002	4.9068e-002	1.3227e-006
102803	3.2171e-002	3.3008e-002	4.9073e-002	1.3836e-006
