Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
103656	2.7452e-002	3.09e-002	4.9431e-002	-5.8041e-008
103658	2.7583e-002	3.0807e-002	4.9431e-002	-4.9786e-008
103660	2.7715e-002	3.0712e-002	4.9432e-002	-4.3081e-008
103663	2.7344e-002	3.0016e-002	4.959e-002	-7.8818e-008
103667	2.7305e-002	3.0346e-002	4.9537e-002	-7.8666e-008
103676	2.7467e-002	3.0096e-002	4.9562e-002	-7.1319e-008
103677	2.7713e-002	3.0246e-002	4.9509e-002	-5.5031e-008
103678	2.7593e-002	3.0168e-002	4.9535e-002	-6.3188e-008
103680	2.745e-002	3.0256e-002	4.9535e-002	-7.0239e-008
103681	2.7431e-002	3.0418e-002	4.951e-002	-6.9572e-008
103685	2.771e-002	3.0399e-002	4.9483e-002	-5.1902e-008
103686	2.7575e-002	3.0487e-002	4.9483e-002	-5.8427e-008
103687	2.7709e-002	3.0558e-002	4.9457e-002	-4.7691e-008
103693	2.7717e-002	3.223e-002	4.9236e-002	3.5082e-008
103695	2.7733e-002	3.2413e-002	4.9216e-002	4.9527e-008
103697	2.7396e-002	3.2432e-002	4.925e-002	-1.2577e-008
103698	2.7559e-002	3.2514e-002	4.9225e-002	2.2005e-008
103700	2.7737e-002	3.2597e-002	4.9199e-002	6.2729e-008
103704	2.7292e-002	3.1991e-002	4.9307e-002	-4.332e-008
103710	2.7259e-002	3.2357e-002	4.9273e-002	-3.9719e-008
103716	2.7444e-002	3.1889e-002	4.9301e-002	-2.5111e-008
103717	2.7433e-002	3.2078e-002	4.9282e-002	-1.9391e-008
103719	2.7418e-002	3.2255e-002	4.9265e-002	-1.469e-008
103721	2.757e-002	3.2153e-002	4.9259e-002	6.131e-009
103723	2.7733e-002	3.2053e-002	4.9253e-002	2.6208e-008
103725	2.7756e-002	3.154e-002	4.9311e-002	-2.8231e-009
103727	2.7747e-002	3.1709e-002	4.9291e-002	6.4539e-009
103728	2.7454e-002	3.1716e-002	4.9321e-002	-3.0669e-008
103729	2.7595e-002	3.1803e-002	4.9295e-002	-8.3964e-009
103731	2.7738e-002	3.1883e-002	4.9271e-002	1.5512e-008
103750	2.5683e-002	3.1045e-002	4.9663e-002	-1.9958e-007
103753	2.5475e-002	3.069e-002	4.9754e-002	-1.9685e-007
103758	2.5538e-002	3.1033e-002	4.969e-002	-2.0772e-007
103759	2.5251e-002	3.1045e-002	4.9742e-002	-2.2308e-007
103760	2.5392e-002	3.105e-002	4.9714e-002	-2.1638e-007
103762	2.5432e-002	3.0885e-002	4.9732e-002	-2.0735e-007
103763	2.5328e-002	3.0708e-002	4.9779e-002	-2.0422e-007
103767	2.5156e-002	3.0763e-002	4.9803e-002	-2.1409e-007
103768	2.5146e-002	3.0953e-002	4.9776e-002	-2.2361e-007
103769	2.5016e-002	3.0813e-002	4.9823e-002	-2.2163e-007
103771	2.6391e-002	3.0756e-002	4.9591e-002	-1.4361e-007
103779	2.6653e-002	3.0858e-002	4.9537e-002	-1.2495e-007
103812	2.6671e-002	3.1015e-002	4.9511e-002	-1.2469e-007
103815	2.6445e-002	3.1243e-002	4.9511e-002	-1.4715e-007
103820	2.6407e-002	3.0924e-002	4.9563e-002	-1.4551e-007
103821	2.6275e-002	3.0873e-002	4.9591e-002	-1.5433e-007
103823	2.654e-002	3.0964e-002	4.9538e-002	-1.3527e-007
103824	2.6312e-002	3.1203e-002	4.9537e-002	-1.5816e-007
103825	2.6425e-002	3.1082e-002	4.9537e-002	-1.4633e-007
103830	2.6136e-002	3.083e-002	4.9619e-002	-1.632e-007
103833	2.59e-002	3.1088e-002	4.9619e-002	-1.8704e-007
103838	2.6154e-002	3.0999e-002	4.9591e-002	-1.6624e-007
103839	2.6182e-002	3.1167e-002	4.9562e-002	-1.6787e-007
103840	2.6044e-002	3.1125e-002	4.959e-002	-1.7753e-007
103842	2.6141e-002	3.0539e-002	4.9664e-002	-1.557e-007
103846	2.5917e-002	3.0212e-002	4.9757e-002	-1.5903e-007
103851	2.6172e-002	3.0289e-002	4.9702e-002	-1.4773e-007
103852	2.629e-002	3.0455e-002	4.9655e-002	-1.4466e-007
103854	2.6057e-002	3.0155e-002	4.9744e-002	-1.5032e-007
103855	2.6382e-002	2.9981e-002	4.9724e-002	-1.3028e-007
103856	2.6206e-002	3.0071e-002	4.9735e-002	-1.4115e-007
103859	2.7197e-002	3.0111e-002	4.959e-002	-8.6571e-008
103860	2.7161e-002	3.0442e-002	4.9537e-002	-8.7202e-008
103861	2.718e-002	3.028e-002	4.9563e-002	-8.7102e-008
103863	2.7053e-002	3.0207e-002	4.9591e-002	-9.5134e-008
103864	2.6912e-002	3.0311e-002	4.9591e-002	-1.0404e-007
103867	2.7161e-002	3.0607e-002	4.951e-002	-8.622e-008
103871	2.691e-002	3.0808e-002	4.951e-002	-1.0433e-007
103876	2.6787e-002	3.0411e-002	4.9591e-002	-1.1235e-007
103878	2.6911e-002	3.0476e-002	4.9563e-002	-1.0451e-007
103880	2.6785e-002	3.0743e-002	4.9537e-002	-1.1427e-007
103881	2.6911e-002	3.0642e-002	4.9536e-002	-1.0443e-007
103883	2.7036e-002	3.0542e-002	4.9536e-002	-9.5611e-008
103885	2.6651e-002	3.0355e-002	4.9619e-002	-1.2073e-007
103886	2.6558e-002	3.0227e-002	4.9654e-002	-1.2487e-007
103888	2.646e-002	3.0096e-002	4.9692e-002	-1.2826e-007
103890	2.6419e-002	3.0336e-002	4.9656e-002	-1.3492e-007
103892	2.6386e-002	3.0585e-002	4.9619e-002	-1.41e-007
103894	2.6651e-002	3.0522e-002	4.9591e-002	-1.2255e-007
103895	2.6654e-002	3.0692e-002	4.9563e-002	-1.2381e-007
103896	2.6519e-002	3.0637e-002	4.9591e-002	-1.3289e-007
103898	2.6404e-002	2.9577e-002	4.9799e-002	-1.2105e-007
103900	2.6247e-002	2.947e-002	4.9845e-002	-1.249e-007
103901	2.6388e-002	2.9174e-002	4.9885e-002	-1.1301e-007
103902	2.6545e-002	2.9444e-002	4.9805e-002	-1.1281e-007
103903	2.6787e-002	2.9262e-002	4.9809e-002	-1.0014e-007
103905	2.6693e-002	2.9363e-002	4.9801e-002	-1.057e-007
103906	2.6536e-002	2.9093e-002	4.9881e-002	-1.064e-007
103907	2.6513e-002	2.9315e-002	4.9837e-002	-1.1147e-007
103908	2.6775e-002	2.9139e-002	4.9837e-002	-9.8692e-008
103910	3.1587e-002	3.4123e-002	4.8985e-002	-1.1975e-006
103916	3.1958e-002	3.4094e-002	4.9002e-002	-9.7997e-007
103923	3.1652e-002	3.3969e-002	4.8993e-002	-1.0569e-006
103925	3.1788e-002	3.3661e-002	4.9013e-002	-8.1081e-007
103926	3.172e-002	3.3815e-002	4.9003e-002	-9.272e-007
103929	3.1831e-002	3.3951e-002	4.9002e-002	-9.8183e-007
103930	3.2026e-002	3.394e-002	4.9012e-002	-8.7383e-007
103933	3.2162e-002	3.3447e-002	4.9043e-002	-6.1396e-007
103936	3.1842e-002	3.3502e-002	4.9024e-002	-7.1229e-007
103940	3.2067e-002	3.3773e-002	4.9021e-002	-7.8386e-007
103941	3.1954e-002	3.3638e-002	4.9022e-002	-7.6062e-007
103942	3.2122e-002	3.3614e-002	4.9032e-002	-6.9352e-007
103949	3.2998e-002	3.494e-002	4.9056e-002	-1.1405e-007
103955	3.3099e-002	3.465e-002	4.9068e-002	-1.6877e-007
103962	3.2603e-002	3.4675e-002	4.9027e-002	-4.4333e-007
103964	3.2759e-002	3.4654e-002	4.9039e-002	-3.5049e-007
103966	3.2829e-002	3.4948e-002	4.9042e-002	-1.9201e-007
103967	3.288e-002	3.4803e-002	4.9047e-002	-2.307e-007
103969	3.2927e-002	3.4646e-002	4.9053e-002	-2.5867e-007
103980	3.2331e-002	3.4994e-002	4.9006e-002	-4.4746e-007
103984	3.2434e-002	3.4682e-002	4.9015e-002	-5.5665e-007
103989	3.2486e-002	3.4976e-002	4.9016e-002	-3.6663e-007
103990	3.2543e-002	3.4819e-002	4.9021e-002	-4.2436e-007
103991	3.2655e-002	3.4969e-002	4.9028e-002	-2.7077e-007
103996	3.1321e-002	3.475e-002	4.8962e-002	-2.1179e-006
104001	3.1637e-002	3.4704e-002	4.8973e-002	-1.4811e-006
104020	3.1445e-002	3.4895e-002	4.8965e-002	-1.3935e-006
104022	3.176e-002	3.4842e-002	4.8977e-002	-1.0948e-006
104023	3.1603e-002	3.4864e-002	4.897e-002	-1.2473e-006
104026	3.1569e-002	3.5033e-002	4.8968e-002	-9.5055e-007
104027	3.1667e-002	3.516e-002	4.8972e-002	-6.3313e-007
104030	3.2165e-002	3.504e-002	4.8996e-002	-5.2297e-007
104033	3.1918e-002	3.48e-002	4.8984e-002	-9.6759e-007
104038	3.2116e-002	3.5206e-002	4.8993e-002	-3.8018e-007
104039	3.1993e-002	3.5083e-002	4.8987e-002	-5.9606e-007
104041	3.1835e-002	3.5125e-002	4.8979e-002	-6.2671e-007
104042	3.1776e-002	3.5283e-002	4.8977e-002	-3.9477e-007
104044	3.1884e-002	3.496e-002	4.8982e-002	-8.3457e-007
104047	3.1908e-002	3.5695e-002	4.8989e-002	1.0454e-007
104050	3.1707e-002	3.5442e-002	4.8976e-002	-1.5426e-007
104055	3.197e-002	3.552e-002	4.8989e-002	-6.5101e-008
104056	3.1875e-002	3.5407e-002	4.8983e-002	-2.0237e-007
104057	3.2039e-002	3.5361e-002	4.899e-002	-2.3477e-007
104060	3.1704e-002	3.4546e-002	4.8979e-002	-1.3163e-006
104063	3.1513e-002	3.4276e-002	4.8978e-002	-1.3548e-006
104069	3.1223e-002	3.4614e-002	4.8962e-002	-1.9045e-006
104070	3.1382e-002	3.459e-002	4.8966e-002	-1.6635e-006
104072	3.1348e-002	3.4298e-002	4.8972e-002	-1.442e-006
104074	3.1449e-002	3.4433e-002	4.8972e-002	-1.5338e-006
104075	3.1547e-002	3.4568e-002	4.8972e-002	-1.5063e-006
104077	3.1113e-002	3.4465e-002	4.8962e-002	-1.4539e-006
104078	3.1176e-002	3.4312e-002	4.8967e-002	-1.4321e-006
104079	3.1005e-002	3.4322e-002	4.8964e-002	-1.2502e-006
104081	3.3918e-002	3.5001e-002	4.9151e-002	2.215e-007
104088	3.4262e-002	3.5077e-002	4.9194e-002	3.1658e-007
104097	3.3809e-002	3.5128e-002	4.9138e-002	2.2624e-007
104099	3.3982e-002	3.5166e-002	4.9158e-002	2.7668e-007
104101	3.3921e-002	3.5419e-002	4.9153e-002	3.2677e-007
104102	3.4021e-002	3.5325e-002	4.9164e-002	3.236e-007
104104	3.4129e-002	3.5197e-002	4.9177e-002	3.1602e-007
104106	3.3472e-002	3.5467e-002	4.9103e-002	2.4475e-007
104112	3.3654e-002	3.5132e-002	4.912e-002	1.8639e-007
104127	3.3618e-002	3.5446e-002	4.9119e-002	2.7128e-007
104128	3.3718e-002	3.5298e-002	4.9128e-002	2.5033e-007
104129	3.3773e-002	3.5442e-002	4.9136e-002	3.0305e-007
104134	3.3278e-002	3.5497e-002	4.9084e-002	2.092e-007
104137	3.3061e-002	3.5224e-002	4.9062e-002	3.269e-008
104142	3.337e-002	3.5332e-002	4.9091e-002	1.7165e-007
104143	3.3147e-002	3.5055e-002	4.9069e-002	-7.9889e-009
104144	3.3261e-002	3.5193e-002	4.908e-002	8.7807e-008
104146	3.3455e-002	3.5163e-002	4.9099e-002	1.3834e-007
104147	3.3546e-002	3.4993e-002	4.9109e-002	1.1195e-007
104151	3.3198e-002	3.491e-002	4.9074e-002	-4.0944e-008
104152	3.3588e-002	3.4841e-002	4.9114e-002	8.3676e-008
104154	3.3389e-002	3.4872e-002	4.9093e-002	2.2253e-008
104156	3.324e-002	3.4757e-002	4.908e-002	-7.3922e-008
104158	3.3291e-002	3.4612e-002	4.9087e-002	-9.2052e-008
104161	3.3762e-002	3.4797e-002	4.9134e-002	1.2857e-007
104164	3.3795e-002	3.4465e-002	4.9143e-002	6.7794e-008
104169	3.3475e-002	3.4558e-002	4.9106e-002	-2.9115e-008
104170	3.3605e-002	3.4675e-002	4.9118e-002	4.6154e-008
104171	3.3649e-002	3.4514e-002	4.9126e-002	2.6571e-008
104174	3.2631e-002	3.6392e-002	4.9056e-002	4.5136e-007
104180	3.2952e-002	3.6326e-002	4.9079e-002	4.5035e-007
104192	3.301e-002	3.6155e-002	4.9077e-002	4.0439e-007
104195	3.2775e-002	3.5887e-002	4.9049e-002	2.7551e-007
104200	3.2673e-002	3.6217e-002	4.9052e-002	3.9822e-007
104201	3.2731e-002	3.6046e-002	4.905e-002	3.3901e-007
104202	3.2841e-002	3.6191e-002	4.9064e-002	4.0197e-007
104205	3.2565e-002	3.6571e-002	4.906e-002	4.8986e-007
104208	3.2742e-002	3.6869e-002	4.9091e-002	5.4348e-007
104213	3.2717e-002	3.6541e-002	4.907e-002	4.907e-007
104214	3.3051e-002	3.6466e-002	4.9094e-002	4.922e-007
104215	3.2882e-002	3.6501e-002	4.9081e-002	4.8937e-007
104217	3.2817e-002	3.6681e-002	4.9085e-002	5.2211e-007
104218	3.2908e-002	3.683e-002	4.9102e-002	5.4836e-007
104222	3.308e-002	3.6773e-002	4.9113e-002	5.4966e-007
104223	3.3153e-002	3.6601e-002	4.911e-002	5.2596e-007
104224	3.3251e-002	3.6732e-002	4.9127e-002	5.5388e-007
104226	3.1273e-002	3.6556e-002	4.8997e-002	3.733e-007
104233	3.1604e-002	3.6504e-002	4.9005e-002	4.3761e-007
104242	3.1476e-002	3.6821e-002	4.9018e-002	3.9496e-007
104243	3.1579e-002	3.6949e-002	4.9029e-002	4.0887e-007
104246	3.1371e-002	3.6688e-002	4.9007e-002	3.7982e-007
104248	3.1709e-002	3.6638e-002	4.9016e-002	4.4649e-007
104249	3.154e-002	3.6662e-002	4.9011e-002	4.1897e-007
104265	3.1741e-002	3.6925e-002	4.9034e-002	4.4501e-007
104266	3.181e-002	3.6773e-002	4.9028e-002	4.6139e-007
104267	3.1906e-002	3.6903e-002	4.904e-002	4.7278e-007
104270	3.0351e-002	3.6524e-002	4.8986e-002	-1.9956e-007
104276	3.014e-002	3.6253e-002	4.8976e-002	-4.1077e-007
104283	2.9993e-002	3.6788e-002	4.9006e-002	-3.5518e-007
104285	3.0043e-002	3.6609e-002	4.8995e-002	-3.6222e-007
104287	3.0094e-002	3.6431e-002	4.8985e-002	-3.9127e-007
104289	3.0198e-002	3.6561e-002	4.899e-002	-2.9288e-007
104290	3.03e-002	3.6702e-002	4.8996e-002	-2.091e-007
104292	3.0105e-002	3.7162e-002	4.9029e-002	-2.5499e-007
104293	3.017e-002	3.7013e-002	4.9017e-002	-2.4303e-007
104295	3.0081e-002	3.6893e-002	4.9011e-002	-2.984e-007
104296	2.9926e-002	3.6941e-002	4.9017e-002	-3.5452e-007
104298	3.0236e-002	3.6859e-002	4.9006e-002	-2.2353e-007
104319	3.05e-002	3.6486e-002	4.8984e-002	-8.4694e-008
104325	3.0592e-002	3.6139e-002	4.8969e-002	-2.3156e-008
104336	3.0398e-002	3.6345e-002	4.8978e-002	-2.0772e-007
104338	3.0185e-002	3.6085e-002	4.8969e-002	-4.9018e-007
104339	3.0294e-002	3.6215e-002	4.8973e-002	-3.3572e-007
104342	3.0443e-002	3.6177e-002	4.8971e-002	-2.0035e-007
104343	3.0488e-002	3.6009e-002	4.8965e-002	-2.2297e-007
104345	3.0245e-002	3.5934e-002	4.8964e-002	-5.1754e-007
104346	3.0306e-002	3.5783e-002	4.8959e-002	-5.4283e-007
104347	3.04e-002	3.5896e-002	4.8961e-002	-3.2163e-007
104350	3.0762e-002	3.775e-002	4.9075e-002	5.3011e-008
104355	3.1104e-002	3.7709e-002	4.9076e-002	1.8789e-007
