Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
96927	2.553e-002	3.2561e-002	4.951e-002	-1.076e-007
96929	2.5682e-002	3.2837e-002	4.946e-002	-7.6116e-008
96930	2.5393e-002	3.2852e-002	4.951e-002	-1.0877e-007
96931	2.5539e-002	3.2844e-002	4.9484e-002	-9.3672e-008
96945	2.5106e-002	3.2555e-002	4.959e-002	-1.3932e-007
96948	2.5252e-002	3.2853e-002	4.9537e-002	-1.2178e-007
96953	2.5175e-002	3.2405e-002	4.9591e-002	-1.3885e-007
96954	2.5247e-002	3.2559e-002	4.9563e-002	-1.3068e-007
96956	2.532e-002	3.2708e-002	4.9536e-002	-1.2068e-007
96958	2.5389e-002	3.2558e-002	4.9536e-002	-1.2021e-007
96960	2.5457e-002	3.2412e-002	4.9537e-002	-1.1988e-007
96983	2.5356e-002	3.6777e-002	4.9478e-002	-1.0551e-007
96987	2.5657e-002	3.6833e-002	4.9428e-002	-6.2152e-008
96996	2.5407e-002	3.693e-002	4.9479e-002	-1.0606e-007
96997	2.5517e-002	3.7224e-002	4.948e-002	-1.0779e-007
96999	2.5461e-002	3.7081e-002	4.9479e-002	-1.0698e-007
97001	2.556e-002	3.6957e-002	4.9453e-002	-8.5957e-008
97003	2.5711e-002	3.6984e-002	4.9428e-002	-6.3103e-008
97006	2.5572e-002	3.7375e-002	4.9482e-002	-1.0984e-007
97011	2.5879e-002	3.7435e-002	4.9434e-002	-6.9853e-008
97019	2.5669e-002	3.7259e-002	4.9455e-002	-8.9162e-008
97020	2.598e-002	3.7309e-002	4.9407e-002	-4.0484e-008
97022	2.5824e-002	3.7284e-002	4.943e-002	-6.6439e-008
97024	2.577e-002	3.7133e-002	4.9428e-002	-6.3856e-008
97026	2.5866e-002	3.7009e-002	4.9403e-002	-3.5751e-008
97029	2.6144e-002	3.7336e-002	4.9382e-002	-9.4104e-009
97036	2.6364e-002	3.7088e-002	4.933e-002	7.8555e-008
97045	2.609e-002	3.7185e-002	4.9379e-002	-4.9083e-009
97046	2.63e-002	3.6933e-002	4.9329e-002	8.0742e-008
97048	2.6191e-002	3.7057e-002	4.9354e-002	3.4361e-008
97050	2.6026e-002	3.703e-002	4.9378e-002	-3.1996e-009
97051	2.5967e-002	3.6881e-002	4.9378e-002	-2.4751e-009
97074	2.7218e-002	4.0388e-002	4.9647e-002	-1.8649e-007
97080	2.6931e-002	4.0459e-002	4.9697e-002	-1.9311e-007
97087	2.6891e-002	4.0602e-002	4.973e-002	-1.9564e-007
97092	2.7054e-002	4.0833e-002	4.9756e-002	-1.9708e-007
97102	2.7319e-002	4.0516e-002	4.966e-002	-1.89e-007
97103	2.7156e-002	4.0561e-002	4.9688e-002	-1.9274e-007
97105	2.7116e-002	4.0704e-002	4.9722e-002	-1.9574e-007
97106	2.7195e-002	4.0819e-002	4.9735e-002	-1.967e-007
97108	2.7014e-002	4.0576e-002	4.9709e-002	-1.9449e-007
97114	2.7415e-002	4.0707e-002	4.9687e-002	-1.931e-007
97115	2.7598e-002	4.1002e-002	4.9728e-002	-1.9709e-007
97116	2.7501e-002	4.0847e-002	4.9706e-002	-1.9532e-007
97118	2.7343e-002	4.083e-002	4.972e-002	-1.9615e-007
97119	2.7281e-002	4.0959e-002	4.9755e-002	-1.9762e-007
97131	2.7219e-002	4.1059e-002	4.9783e-002	-1.978e-007
97133	2.7295e-002	4.1336e-002	4.9836e-002	-1.9642e-007
97135	2.7444e-002	4.1207e-002	4.979e-002	-1.9817e-007
97136	2.7434e-002	4.1373e-002	4.9828e-002	-1.9708e-007
97138	2.7367e-002	4.107e-002	4.9769e-002	-1.9804e-007
97139	2.7676e-002	4.1138e-002	4.975e-002	-1.9824e-007
97140	2.7506e-002	4.1107e-002	4.9761e-002	-1.9817e-007
97149	3.465e-002	4.0713e-002	4.9816e-002	-1.9403e-007
97154	3.4486e-002	4.1104e-002	4.9875e-002	-1.9183e-007
97164	3.4914e-002	4.0403e-002	4.9795e-002	-1.9334e-007
97169	3.5324e-002	4.0254e-002	4.9835e-002	-1.9112e-007
97171	3.4937e-002	4.0599e-002	4.9837e-002	-1.9245e-007
97173	3.5118e-002	4.0493e-002	4.9846e-002	-1.9146e-007
97174	3.5319e-002	4.0787e-002	4.9939e-002	-1.8394e-007
97175	3.4865e-002	4.0683e-002	4.9843e-002	-1.9245e-007
97177	3.5068e-002	4.0773e-002	4.9894e-002	-1.8876e-007
97178	3.4993e-002	4.1081e-002	4.9947e-002	-1.8417e-007
97179	3.4781e-002	4.0888e-002	4.9872e-002	-1.9118e-007
97198	3.483e-002	4.0303e-002	4.9763e-002	-1.9312e-007
97201	3.4991e-002	3.9965e-002	4.9727e-002	-1.9033e-007
97206	3.4589e-002	3.989e-002	4.9652e-002	-1.813e-007
97208	3.473e-002	3.9931e-002	4.968e-002	-1.8584e-007
97210	3.4886e-002	3.9949e-002	4.9707e-002	-1.8893e-007
97212	3.477e-002	4.008e-002	4.9712e-002	-1.8993e-007
97213	3.4674e-002	4.0285e-002	4.9736e-002	-1.9231e-007
97216	3.4082e-002	4.0724e-002	4.9739e-002	-1.9456e-007
97219	3.4504e-002	4.0581e-002	4.9768e-002	-1.9443e-007
97224	3.4164e-002	4.0223e-002	4.9653e-002	-1.8306e-007
97225	3.4147e-002	4.039e-002	4.9682e-002	-1.8833e-007
97227	3.4126e-002	4.0567e-002	4.9713e-002	-1.9236e-007
97229	3.4296e-002	4.0476e-002	4.9718e-002	-1.9225e-007
97231	3.4526e-002	4.0404e-002	4.9736e-002	-1.9284e-007
97234	3.4153e-002	4.0046e-002	4.9619e-002	-1.748e-007
97235	3.4305e-002	4.012e-002	4.9653e-002	-1.8254e-007
97237	3.4431e-002	3.9832e-002	4.9619e-002	-1.7375e-007
97239	3.4454e-002	4.0001e-002	4.9652e-002	-1.8185e-007
97240	3.4465e-002	4.018e-002	4.9686e-002	-1.8783e-007
97259	3.5515e-002	3.8888e-002	4.9647e-002	-1.7562e-007
97264	3.5524e-002	3.9281e-002	4.9705e-002	-1.8558e-007
97278	3.6079e-002	3.929e-002	4.9812e-002	-1.8784e-007
97287	3.6114e-002	3.9649e-002	4.9876e-002	-1.8556e-007
97291	3.5645e-002	3.8808e-002	4.966e-002	-1.7759e-007
97294	3.5917e-002	3.9041e-002	4.9743e-002	-1.8686e-007
97304	3.5652e-002	3.9008e-002	4.9688e-002	-1.8262e-007
97305	3.5661e-002	3.938e-002	4.9746e-002	-1.8847e-007
97307	3.5659e-002	3.9187e-002	4.9716e-002	-1.8606e-007
