Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
65881	2.8549e-002	3.4454e-002	4.9027e-002	1.2161e-005
65882	2.8061e-002	3.3961e-002	4.9081e-002	8.6312e-006
65886	2.8867e-002	3.44e-002	4.9008e-002	1.3951e-005
65887	2.8668e-002	3.4117e-002	4.9028e-002	1.1498e-005
65893	2.9318e-002	3.3985e-002	4.8998e-002	1.3555e-005
65898	2.8157e-002	3.359e-002	4.909e-002	7.8421e-006
65899	2.8455e-002	3.3846e-002	4.9054e-002	9.5418e-006
65900	2.8796e-002	3.3784e-002	4.9034e-002	1.0366e-005
65903	2.9139e-002	3.372e-002	4.9018e-002	1.0961e-005
65904	2.9438e-002	3.365e-002	4.9008e-002	1.1058e-005
65905	2.8922e-002	3.3458e-002	4.9043e-002	8.9855e-006
65911	2.7853e-002	3.3327e-002	4.9132e-002	6.5082e-006
65912	2.8267e-002	3.3233e-002	4.9102e-002	6.9606e-006
65917	2.867e-002	3.3178e-002	4.9076e-002	7.3674e-006
65918	2.9043e-002	3.3131e-002	4.9057e-002	7.572e-006
65919	2.8422e-002	3.289e-002	4.9115e-002	6.1047e-006
65924	2.824e-002	3.2578e-002	4.9155e-002	5.104e-006
65925	2.8589e-002	3.258e-002	4.9128e-002	5.3252e-006
65930	2.7696e-002	3.412e-002	4.9109e-002	7.8327e-006
65931	2.7981e-002	3.4318e-002	4.9076e-002	9.1538e-006
65936	2.8429e-002	3.4788e-002	4.903e-002	1.2141e-005
65937	2.8253e-002	3.4491e-002	4.9048e-002	1.0667e-005
65938	2.7908e-002	3.466e-002	4.9075e-002	9.3412e-006
65942	2.9054e-002	3.4695e-002	4.8991e-002	1.6913e-005
65943	2.9188e-002	3.4333e-002	4.8992e-002	1.5816e-005
65944	2.9498e-002	3.4258e-002	4.8981e-002	1.7282e-005
65949	2.8924e-002	3.2532e-002	4.9111e-002	5.3203e-006
65950	2.8717e-002	3.227e-002	4.9149e-002	4.5633e-006
65954	2.9727e-002	3.3581e-002	4.9002e-002	1.0737e-005
65955	2.9546e-002	3.3332e-002	4.9022e-002	8.9175e-006
65959	2.908e-002	3.1837e-002	4.9175e-002	3.6142e-006
65964	2.7564e-002	3.2698e-002	4.9208e-002	4.7683e-006
65973	2.7309e-002	3.4754e-002	4.9136e-002	7.2826e-006
65977	2.8572e-002	3.5092e-002	4.9018e-002	1.325e-005
65978	2.8299e-002	3.5116e-002	4.9038e-002	1.1458e-005
65987	2.9503e-002	3.1362e-002	4.9215e-002	2.7225e-006
65992	2.9356e-002	3.307e-002	4.9046e-002	7.4578e-006
65993	2.9146e-002	3.2802e-002	4.9076e-002	6.2755e-006
65994	2.9255e-002	3.247e-002	4.91e-002	5.165e-006
65995	2.9672e-002	3.3023e-002	4.9038e-002	7.2071e-006
66003	3.3549e-002	3.2698e-002	4.921e-002	4.8626e-006
66007	3.3312e-002	3.2004e-002	4.9254e-002	3.6912e-006
66011	3.3299e-002	3.2874e-002	4.917e-002	5.3481e-006
66012	3.3252e-002	3.2552e-002	4.9193e-002	4.6796e-006
